angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.51,,"[587, 146, 199, 256]",,0.0,,0.03,,0.08,,0.26,,0.12,,0.0,
0.17,,"[563, 320, 215, 257]",,0.0,,0.04,,0.3,,0.16,,0.33,,0.01,
0.16,,"[563, 320, 215, 257]",,0.0,,0.03,,0.32,,0.15,,0.33,,0.01,
0.16,,"[597, 261, 197, 235]",,0.0,,0.06,,0.46,,0.12,,0.2,,0.01,
0.38,,"[580, 250, 195, 240]",,0.0,,0.13,,0.17,,0.13,,0.19,,0.01,
0.49,,"[586, 256, 179, 219]",,0.0,,0.18,,0.04,,0.03,,0.27,,0.0,
0.6,,"[574, 228, 191, 235]",,0.0,,0.17,,0.04,,0.05,,0.14,,0.01,
0.6,,"[574, 228, 191, 235]",,0.0,,0.17,,0.04,,0.05,,0.14,,0.0,
0.44,,"[574, 215, 196, 246]",,0.0,,0.11,,0.15,,0.13,,0.17,,0.0,
0.49,,"[570, 204, 204, 253]",,0.0,,0.09,,0.08,,0.16,,0.18,,0.01,
0.59,,"[579, 211, 197, 244]",,0.0,,0.07,,0.13,,0.04,,0.17,,0.0,
0.12,,"[602, 209, 189, 234]",,0.0,,0.04,,0.26,,0.39,,0.18,,0.0,
0.12,,"[602, 210, 189, 233]",,0.0,,0.04,,0.31,,0.35,,0.18,,0.0,
0.12,,"[605, 211, 194, 233]",,0.0,,0.04,,0.09,,0.35,,0.41,,0.0,
0.13,,"[611, 216, 191, 230]",,0.0,,0.03,,0.14,,0.31,,0.39,,0.0,
0.14,,"[621, 223, 185, 226]",,0.0,,0.08,,0.02,,0.26,,0.51,,0.0,
0.11,,"[624, 235, 193, 240]",,0.0,,0.02,,0.03,,0.56,,0.29,,0.0,
0.14,,"[632, 242, 187, 230]",,0.0,,0.02,,0.04,,0.29,,0.5,,0.0,
0.13,,"[632, 242, 186, 227]",,0.0,,0.02,,0.04,,0.35,,0.46,,0.0,
0.29,,"[624, 241, 189, 233]",,0.0,,0.03,,0.07,,0.18,,0.42,,0.01,
0.26,,"[624, 240, 189, 236]",,0.0,,0.03,,0.09,,0.18,,0.42,,0.01,
0.29,,"[624, 239, 189, 235]",,0.0,,0.02,,0.11,,0.16,,0.39,,0.02,
0.5,,"[620, 203, 199, 261]",,0.01,,0.03,,0.01,,0.05,,0.38,,0.02,
0.58,,"[619, 206, 192, 255]",,0.01,,0.04,,0.01,,0.05,,0.23,,0.08,
0.53,,"[633, 203, 187, 252]",,0.01,,0.04,,0.0,,0.03,,0.37,,0.02,
0.7,,"[624, 205, 184, 245]",,0.0,,0.04,,0.0,,0.03,,0.17,,0.05,
0.65,,"[623, 203, 185, 247]",,0.0,,0.05,,0.0,,0.03,,0.21,,0.05,
0.41,,"[620, 190, 201, 265]",,0.0,,0.06,,0.02,,0.13,,0.36,,0.02,
0.59,,"[623, 202, 186, 248]",,0.0,,0.05,,0.0,,0.04,,0.29,,0.02,
0.58,,"[621, 203, 193, 255]",,0.01,,0.04,,0.02,,0.05,,0.26,,0.04,
0.34,,"[631, 215, 194, 253]",,0.01,,0.02,,0.07,,0.25,,0.29,,0.02,
0.36,,"[631, 216, 194, 252]",,0.01,,0.02,,0.05,,0.27,,0.28,,0.01,
0.17,,"[630, 231, 194, 246]",,0.0,,0.01,,0.02,,0.64,,0.16,,0.0,
0.25,,"[631, 230, 193, 247]",,0.0,,0.02,,0.01,,0.46,,0.25,,0.0,
0.36,,"[632, 230, 191, 249]",,0.0,,0.03,,0.02,,0.2,,0.37,,0.01,
0.36,,"[632, 230, 191, 249]",,0.0,,0.03,,0.02,,0.2,,0.38,,0.01,
0.53,,"[622, 207, 203, 267]",,0.0,,0.03,,0.02,,0.12,,0.27,,0.02,
0.76,,"[617, 201, 207, 269]",,0.0,,0.04,,0.0,,0.03,,0.13,,0.03,
0.75,,"[620, 191, 205, 270]",,0.0,,0.03,,0.0,,0.07,,0.13,,0.02,
0.54,,"[624, 201, 190, 246]",,0.0,,0.02,,0.01,,0.26,,0.16,,0.0,
0.19,,"[622, 187, 207, 261]",,0.0,,0.01,,0.01,,0.63,,0.16,,0.0,
0.23,,"[625, 187, 204, 260]",,0.0,,0.01,,0.01,,0.57,,0.18,,0.0,
0.4,,"[632, 193, 196, 253]",,0.0,,0.02,,0.01,,0.39,,0.16,,0.02,
0.6,,"[637, 199, 195, 255]",,0.06,,0.05,,0.01,,0.04,,0.2,,0.04,
0.7,,"[645, 198, 194, 250]",,0.01,,0.09,,0.02,,0.04,,0.08,,0.06,
0.28,,"[251, 479, 185, 227]",,0.0,,0.38,,0.04,,0.01,,0.23,,0.06,
0.42,,"[607, 129, 194, 268]",,0.0,,0.05,,0.02,,0.0,,0.01,,0.5,
0.44,,"[616, 135, 194, 259]",,0.0,,0.14,,0.0,,0.0,,0.01,,0.4,
0.49,,"[606, 135, 196, 262]",,0.0,,0.12,,0.01,,0.0,,0.02,,0.36,
0.7,,"[605, 196, 178, 220]",,0.01,,0.07,,0.01,,0.03,,0.16,,0.0,
0.54,,"[604, 180, 185, 230]",,0.0,,0.05,,0.01,,0.09,,0.32,,0.0,
0.46,,"[603, 179, 187, 232]",,0.0,,0.06,,0.01,,0.11,,0.37,,0.0,
0.67,,"[596, 177, 185, 230]",,0.0,,0.05,,0.07,,0.06,,0.15,,0.0,
0.58,,"[602, 184, 184, 228]",,0.0,,0.04,,0.05,,0.12,,0.21,,0.0,
0.67,,"[598, 193, 184, 221]",,0.0,,0.05,,0.03,,0.09,,0.17,,0.0,
0.38,,"[595, 184, 187, 233]",,0.0,,0.04,,0.03,,0.33,,0.22,,0.0,
0.58,,"[596, 193, 186, 223]",,0.0,,0.05,,0.04,,0.13,,0.19,,0.0,
0.48,,"[598, 193, 185, 223]",,0.0,,0.07,,0.03,,0.16,,0.27,,0.0,
0.35,,"[606, 204, 178, 217]",,0.0,,0.06,,0.01,,0.14,,0.43,,0.0,
0.06,,"[480, 243, 179, 209]",,0.0,,0.11,,0.03,,0.1,,0.7,,0.0,
0.05,,"[464, 229, 179, 220]",,0.0,,0.1,,0.14,,0.16,,0.55,,0.0,
0.05,,"[464, 229, 180, 220]",,0.0,,0.09,,0.14,,0.16,,0.55,,0.0,
0.74,,"[641, 208, 188, 245]",,0.0,,0.05,,0.04,,0.07,,0.09,,0.01,
0.74,,"[641, 208, 188, 245]",,0.0,,0.05,,0.04,,0.07,,0.09,,0.01,
