,box,angry,disgust,fear,happy,sad,surprise,neutral
108,"[602, 210, 189, 233]",0.12,0.0,0.04,0.31,0.18,0.0,0.35
109,"[605, 211, 194, 233]",0.12,0.0,0.04,0.09,0.41,0.0,0.35
110,"[611, 216, 191, 230]",0.13,0.0,0.03,0.14,0.39,0.0,0.31
111,"[621, 223, 185, 226]",0.14,0.0,0.08,0.02,0.51,0.0,0.26
112,"[624, 235, 193, 240]",0.11,0.0,0.02,0.03,0.29,0.0,0.56
113,"[632, 242, 187, 230]",0.14,0.0,0.02,0.04,0.5,0.0,0.29
114,"[632, 242, 186, 227]",0.13,0.0,0.02,0.04,0.46,0.0,0.35
115,"[624, 241, 189, 233]",0.29,0.0,0.03,0.07,0.42,0.01,0.18
116,"[624, 240, 189, 236]",0.26,0.0,0.03,0.09,0.42,0.01,0.18
117,"[624, 239, 189, 235]",0.29,0.0,0.02,0.11,0.39,0.02,0.16
118,"[620, 203, 199, 261]",0.5,0.01,0.03,0.01,0.38,0.02,0.05
119,"[619, 206, 192, 255]",0.58,0.01,0.04,0.01,0.23,0.08,0.05
120,"[633, 203, 187, 252]",0.53,0.01,0.04,0.0,0.37,0.02,0.03
121,"[624, 205, 184, 245]",0.7,0.0,0.04,0.0,0.17,0.05,0.03
122,"[623, 203, 185, 247]",0.65,0.0,0.05,0.0,0.21,0.05,0.03
123,"[620, 190, 201, 265]",0.41,0.0,0.06,0.02,0.36,0.02,0.13
124,"[623, 202, 186, 248]",0.59,0.0,0.05,0.0,0.29,0.02,0.04
125,"[621, 203, 193, 255]",0.58,0.01,0.04,0.02,0.26,0.04,0.05
126,"[631, 215, 194, 253]",0.34,0.01,0.02,0.07,0.29,0.02,0.25
127,"[631, 216, 194, 252]",0.36,0.01,0.02,0.05,0.28,0.01,0.27
128,"[630, 231, 194, 246]",0.17,0.0,0.01,0.02,0.16,0.0,0.64
129,"[631, 230, 193, 247]",0.25,0.0,0.02,0.01,0.25,0.0,0.46
130,"[632, 230, 191, 249]",0.36,0.0,0.03,0.02,0.37,0.01,0.2
131,"[632, 230, 191, 249]",0.36,0.0,0.03,0.02,0.38,0.01,0.2
132,"[622, 207, 203, 267]",0.53,0.0,0.03,0.02,0.27,0.02,0.12
133,"[617, 201, 207, 269]",0.76,0.0,0.04,0.0,0.13,0.03,0.03
134,"[620, 191, 205, 270]",0.75,0.0,0.03,0.0,0.13,0.02,0.07
135,"[624, 201, 190, 246]",0.54,0.0,0.02,0.01,0.16,0.0,0.26
136,"[622, 187, 207, 261]",0.19,0.0,0.01,0.01,0.16,0.0,0.63
137,"[625, 187, 204, 260]",0.23,0.0,0.01,0.01,0.18,0.0,0.57
138,"[632, 193, 196, 253]",0.4,0.0,0.02,0.01,0.16,0.02,0.39
139,"[637, 199, 195, 255]",0.6,0.06,0.05,0.01,0.2,0.04,0.04
140,"[645, 198, 194, 250]",0.7,0.01,0.09,0.02,0.08,0.06,0.04
141,"[251, 479, 185, 227]",0.28,0.0,0.38,0.04,0.23,0.06,0.01
142,"[607, 129, 194, 268]",0.42,0.0,0.05,0.02,0.01,0.5,0.0
143,"[616, 135, 194, 259]",0.44,0.0,0.14,0.0,0.01,0.4,0.0
144,"[606, 135, 196, 262]",0.49,0.0,0.12,0.01,0.02,0.36,0.0
145,"[605, 196, 178, 220]",0.7,0.01,0.07,0.01,0.16,0.0,0.03
146,"[604, 180, 185, 230]",0.54,0.0,0.05,0.01,0.32,0.0,0.09
147,"[603, 179, 187, 232]",0.46,0.0,0.06,0.01,0.37,0.0,0.11
148,"[596, 177, 185, 230]",0.67,0.0,0.05,0.07,0.15,0.0,0.06
149,"[602, 184, 184, 228]",0.58,0.0,0.04,0.05,0.21,0.0,0.12
150,"[598, 193, 184, 221]",0.67,0.0,0.05,0.03,0.17,0.0,0.09
151,"[595, 184, 187, 233]",0.38,0.0,0.04,0.03,0.22,0.0,0.33
152,"[596, 193, 186, 223]",0.58,0.0,0.05,0.04,0.19,0.0,0.13
153,"[598, 193, 185, 223]",0.48,0.0,0.07,0.03,0.27,0.0,0.16
154,"[606, 204, 178, 217]",0.35,0.0,0.06,0.01,0.43,0.0,0.14
155,"[480, 243, 179, 209]",0.06,0.0,0.11,0.03,0.7,0.0,0.1
156,"[464, 229, 179, 220]",0.05,0.0,0.1,0.14,0.55,0.0,0.16
157,"[464, 229, 180, 220]",0.05,0.0,0.09,0.14,0.55,0.0,0.16
158,"[641, 208, 188, 245]",0.74,0.0,0.05,0.04,0.09,0.01,0.07
159,"[641, 208, 188, 245]",0.74,0.0,0.05,0.04,0.09,0.01,0.07
160,"[646, 214, 179, 239]",0.65,0.01,0.05,0.03,0.2,0.01,0.05
161,"[543, 213, 118, 158]",0.23,0.0,0.07,0.04,0.59,0.0,0.07
162,"[577, 211, 193, 254]",0.03,0.0,0.23,0.14,0.38,0.03,0.2
163,"[513, 169, 180, 222]",0.08,0.0,0.01,0.86,0.04,0.0,0.0
164,"[514, 169, 179, 220]",0.07,0.0,0.02,0.86,0.04,0.0,0.01
165,"[519, 151, 178, 221]",0.38,0.01,0.06,0.37,0.15,0.0,0.02
166,"[523, 140, 189, 231]",0.19,0.0,0.04,0.55,0.11,0.0,0.1
167,"[531, 152, 178, 221]",0.49,0.01,0.05,0.32,0.1,0.0,0.04
168,"[531, 152, 177, 221]",0.48,0.01,0.05,0.32,0.1,0.0,0.04
169,"[540, 140, 190, 236]",0.36,0.01,0.04,0.48,0.05,0.0,0.05
170,"[567, 148, 185, 237]",0.91,0.04,0.02,0.01,0.02,0.01,0.0
171,"[574, 154, 184, 233]",0.86,0.03,0.04,0.01,0.04,0.01,0.0
172,"[588, 143, 191, 243]",0.92,0.02,0.01,0.03,0.02,0.0,0.0
173,"[588, 143, 191, 243]",0.92,0.02,0.01,0.03,0.02,0.0,0.0
174,"[579, 147, 189, 247]",0.82,0.01,0.02,0.03,0.11,0.0,0.01
175,"[573, 152, 190, 246]",0.74,0.02,0.04,0.03,0.15,0.01,0.01
176,"[573, 152, 190, 246]",0.73,0.02,0.04,0.03,0.16,0.01,0.01
177,"[552, 173, 182, 227]",0.78,0.05,0.06,0.0,0.09,0.01,0.0
178,"[530, 164, 191, 232]",0.68,0.02,0.09,0.02,0.16,0.01,0.01
179,"[530, 164, 191, 232]",0.69,0.02,0.09,0.02,0.15,0.01,0.01
180,"[533, 169, 182, 220]",0.7,0.0,0.04,0.0,0.22,0.0,0.03
181,"[507, 138, 199, 247]",0.4,0.0,0.1,0.0,0.45,0.0,0.05
182,"[497, 134, 195, 254]",0.88,0.01,0.04,0.0,0.02,0.04,0.01
183,"[491, 137, 193, 248]",0.78,0.0,0.07,0.0,0.02,0.12,0.0
184,"[491, 137, 193, 248]",0.77,0.0,0.08,0.0,0.02,0.12,0.0
185,"[510, 137, 184, 238]",0.7,0.02,0.05,0.01,0.09,0.11,0.01
186,"[484, 161, 191, 242]",0.31,0.0,0.06,0.02,0.36,0.0,0.25
187,"[494, 175, 176, 232]",0.68,0.0,0.06,0.01,0.15,0.01,0.08
188,"[462, 169, 193, 260]",0.81,0.0,0.06,0.01,0.07,0.01,0.05
189,"[462, 169, 194, 259]",0.81,0.0,0.05,0.01,0.06,0.01,0.05
190,"[457, 180, 190, 255]",0.77,0.0,0.07,0.01,0.08,0.03,0.05
191,"[454, 194, 186, 241]",0.51,0.0,0.06,0.01,0.2,0.01,0.23
192,"[448, 191, 190, 245]",0.45,0.0,0.08,0.0,0.19,0.01,0.27
193,"[443, 189, 190, 247]",0.67,0.0,0.07,0.01,0.13,0.02,0.1
194,"[442, 189, 191, 247]",0.66,0.0,0.07,0.01,0.12,0.02,0.12
195,"[435, 182, 198, 252]",0.73,0.0,0.04,0.01,0.09,0.03,0.1
196,"[432, 190, 189, 239]",0.61,0.0,0.04,0.02,0.19,0.01,0.12
197,"[440, 204, 184, 231]",0.84,0.0,0.05,0.0,0.09,0.0,0.02
198,"[441, 214, 181, 224]",0.8,0.01,0.05,0.0,0.12,0.0,0.01
199,"[442, 215, 181, 224]",0.88,0.01,0.03,0.0,0.08,0.0,0.01
200,"[431, 220, 179, 223]",0.7,0.02,0.05,0.04,0.15,0.0,0.03
201,"[426, 238, 175, 217]",0.63,0.05,0.11,0.0,0.18,0.0,0.02
202,"[433, 242, 169, 209]",0.74,0.03,0.14,0.0,0.07,0.0,0.01
203,"[430, 224, 185, 231]",0.73,0.01,0.08,0.01,0.14,0.0,0.02
204,"[429, 223, 185, 232]",0.72,0.01,0.09,0.01,0.15,0.0,0.02
205,"[423, 210, 191, 240]",0.57,0.0,0.07,0.03,0.23,0.01,0.09
206,"[431, 208, 191, 239]",0.62,0.0,0.03,0.01,0.22,0.0,0.12
207,"[439, 224, 183, 226]",0.75,0.0,0.02,0.01,0.16,0.0,0.07
208,"[435, 229, 183, 234]",0.58,0.01,0.05,0.03,0.21,0.0,0.13
209,"[435, 229, 183, 234]",0.59,0.01,0.04,0.03,0.2,0.0,0.13
210,"[435, 233, 182, 235]",0.74,0.0,0.05,0.03,0.12,0.01,0.05
211,"[424, 238, 186, 234]",0.59,0.0,0.06,0.03,0.19,0.0,0.13
212,"[427, 244, 178, 224]",0.68,0.01,0.04,0.01,0.16,0.0,0.1
213,"[425, 246, 179, 227]",0.8,0.01,0.04,0.0,0.09,0.0,0.06
214,"[426, 246, 178, 227]",0.78,0.01,0.04,0.0,0.1,0.0,0.07
215,"[423, 245, 178, 226]",0.71,0.01,0.05,0.01,0.11,0.0,0.11
216,"[423, 242, 180, 219]",0.73,0.0,0.06,0.0,0.13,0.0,0.07
217,"[421, 243, 182, 218]",0.74,0.01,0.05,0.01,0.13,0.0,0.07
218,"[421, 244, 181, 220]",0.74,0.0,0.06,0.01,0.12,0.0,0.08
219,"[421, 243, 182, 221]",0.64,0.0,0.07,0.01,0.16,0.0,0.11
220,"[420, 244, 181, 224]",0.75,0.0,0.06,0.01,0.07,0.01,0.09
221,"[413, 234, 188, 243]",0.6,0.0,0.1,0.01,0.16,0.02,0.11
222,"[416, 236, 180, 231]",0.69,0.0,0.08,0.0,0.11,0.0,0.12
223,"[411, 227, 188, 236]",0.55,0.0,0.11,0.01,0.15,0.0,0.17
224,"[418, 230, 186, 232]",0.61,0.0,0.07,0.0,0.16,0.0,0.15
